rmw,topic,timestamp,network,msg_rate_avg,msg_rate_std,cpu_avg,mem_avg,samples,avg_latency,min_latency,max_latency,std_latency,throughput,bandwidth,duration,cpu_max,mem_max
fastrtps,robot_odom,20250519_144155,wifi,24.601379310344825,0.5379124665230429,8.93,60.30078125,748,-123467.969,-123469.241,-123463.52,0.506,24.928,0.0,30.006,95.9,60.30078125
fastrtps,robot_odom,20250520_143902,wifi,24.60379310344827,0.5354303057973377,8.23,58.30546875,748,1747740509969.553,1747740509968.688,1747740509972.911,0.506,24.923,0.0,30.013,94.9,58.3203125
fastrtps,robot_camera_color_image_raw,20250519_144049,wifi,5.726333333333333,0.3877583726440418,9.996666666666666,61.17734375,179,-123271.126,-123284.588,-123165.229,9.889,5.946,0.0,30.106,94.9,61.23828125
fastrtps,robot_camera_color_image_raw,20250520_143756,wifi,5.697666666666665,0.4053860985392677,9.863333333333333,60.10794270833333,178,1747740510206.67,1747740510179.808,1747740510349.682,19.365,5.922,0.0,30.055,97.9,60.1796875
fastrtps,robot_cmd_vel,20250520_143935,wifi,4.716666666666667,0.1485335727107586,4.296666666666667,59.2421875,144,0.0,0.0,0.0,0.0,4.791,0.0,30.056,90.9,59.2421875
fastrtps,robot_lidar_points,20250520_143829,wifi,6.745000000000001,0.6263798102323116,21.96333333333333,85.15078125,199,1747740511445.225,1747740510222.232,1747740513227.502,811.543,6.626,0.0,30.032,96.9,93.46484375
fastrtps,robot_lidar_points,20250519_144122,wifi,8.563666666666668,1.937998079347747,29.73,72.562890625,290,-123285.463,-123307.513,-123093.881,19.482,9.64,0.0,30.084,89.9,82.62890625
cyclonedds,robot_odom,20250519_144808,wifi,24.672413793103445,0.44855826648322955,9.496666666666666,50.187109375,749,-123457.627,-123458.662,-123455.879,0.446,24.947,0.0,30.024,94.9,50.21875
cyclonedds,robot_camera_color_image_raw,20250520_144352,wifi,5.862000000000001,0.19605101376937584,14.396666666666667,56.287109375,180,1747740510196.236,1747740510173.679,1747740510293.484,16.482,5.981,0.0,30.093,93.9,60.02734375
cyclonedds,robot_camera_color_image_raw,20250519_144702,wifi,5.996551724137931,0.007083668477301391,9.83,53.588671875,180,-123266.0,-123277.415,-123253.85,5.436,5.999,0.0,30.003,87.9,54.5078125
cyclonedds,robot_cmd_vel,20250520_144605,wifi,4.757333333333333,0.16508449015243343,4.796666666666667,51.075390625,142,0.0,0.0,0.0,0.0,4.73,0.0,30.024,89.9,51.4140625
cyclonedds,robot_lidar_points,20250519_144735,wifi,9.761666666666665,0.38283228123494956,29.05666666666667,63.860546875,299,-123280.882,-123297.559,-123179.852,8.959,9.958,0.0,30.025,99.9,76.7578125
cyclonedds,robot_lidar_points,20250520_144425,wifi,7.648965517241377,0.5391330513767463,34.769999999999996,60.158854166666664,236,1747740511615.295,1747740510251.112,1747740513429.047,757.776,7.864,0.0,30.01,96.9,76.7890625
