[INFO] [1747658823.461119197] [ros2_monitor]: Monitoring /robot/camera/color/image_raw for 30.0 seconds...
[INFO] [1747658824.436160429] [ros2_monitor]: [Interim] Msgs: 6 | Rate: 5.97 Hz | CPU: 0.0% | MEM: 53.60 MB
[INFO] [1747658825.437733188] [ros2_monitor]: [Interim] Msgs: 12 | Rate: 5.98 Hz | CPU: 5.0% | MEM: 53.61 MB
[INFO] [1747658826.437372531] [ros2_monitor]: [Interim] Msgs: 18 | Rate: 5.99 Hz | CPU: 8.0% | MEM: 54.39 MB
[INFO] [1747658827.437500774] [ros2_monitor]: [Interim] Msgs: 24 | Rate: 5.99 Hz | CPU: 7.0% | MEM: 53.68 MB
[INFO] [1747658828.437445809] [ros2_monitor]: [Interim] Msgs: 30 | Rate: 5.99 Hz | CPU: 7.0% | MEM: 53.69 MB
[INFO] [1747658829.437808509] [ros2_monitor]: [Interim] Msgs: 36 | Rate: 5.99 Hz | CPU: 7.0% | MEM: 53.70 MB
[INFO] [1747658830.437841951] [ros2_monitor]: [Interim] Msgs: 42 | Rate: 5.99 Hz | CPU: 6.0% | MEM: 53.70 MB
[INFO] [1747658831.438103584] [ros2_monitor]: [Interim] Msgs: 48 | Rate: 6.00 Hz | CPU: 8.0% | MEM: 53.71 MB
[INFO] [1747658832.437696079] [ros2_monitor]: [Interim] Msgs: 54 | Rate: 6.00 Hz | CPU: 8.0% | MEM: 53.72 MB
[INFO] [1747658833.437606911] [ros2_monitor]: [Interim] Msgs: 60 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.72 MB
[INFO] [1747658834.437576555] [ros2_monitor]: [Interim] Msgs: 66 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.72 MB
[INFO] [1747658835.437614547] [ros2_monitor]: [Interim] Msgs: 72 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.73 MB
[INFO] [1747658836.437558901] [ros2_monitor]: [Interim] Msgs: 78 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.73 MB
[INFO] [1747658837.437556978] [ros2_monitor]: [Interim] Msgs: 84 | Rate: 6.00 Hz | CPU: 8.0% | MEM: 53.53 MB
[INFO] [1747658838.437575818] [ros2_monitor]: [Interim] Msgs: 90 | Rate: 6.00 Hz | CPU: 8.0% | MEM: 53.53 MB
[INFO] [1747658839.437532572] [ros2_monitor]: [Interim] Msgs: 96 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.54 MB
[INFO] [1747658840.437531306] [ros2_monitor]: [Interim] Msgs: 102 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.54 MB
[INFO] [1747658841.437458993] [ros2_monitor]: [Interim] Msgs: 108 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.54 MB
[INFO] [1747658842.437537718] [ros2_monitor]: [Interim] Msgs: 114 | Rate: 6.00 Hz | CPU: 8.0% | MEM: 53.54 MB
[INFO] [1747658843.437493044] [ros2_monitor]: [Interim] Msgs: 120 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.54 MB
[INFO] [1747658844.437534638] [ros2_monitor]: [Interim] Msgs: 126 | Rate: 6.00 Hz | CPU: 8.0% | MEM: 53.55 MB
[INFO] [1747658845.437458305] [ros2_monitor]: [Interim] Msgs: 132 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.55 MB
[INFO] [1747658846.437350319] [ros2_monitor]: [Interim] Msgs: 138 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.55 MB
[INFO] [1747658847.437548029] [ros2_monitor]: [Interim] Msgs: 144 | Rate: 6.00 Hz | CPU: 8.0% | MEM: 53.55 MB
[INFO] [1747658848.437291966] [ros2_monitor]: [Interim] Msgs: 150 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.61 MB
[INFO] [1747658849.437419904] [ros2_monitor]: [Interim] Msgs: 156 | Rate: 6.00 Hz | CPU: 8.0% | MEM: 53.62 MB
[INFO] [1747658850.437299290] [ros2_monitor]: [Interim] Msgs: 162 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.62 MB
[INFO] [1747658851.437277104] [ros2_monitor]: [Interim] Msgs: 168 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.62 MB
[INFO] [1747658852.437361827] [ros2_monitor]: [Interim] Msgs: 174 | Rate: 6.00 Hz | CPU: 7.0% | MEM: 53.62 MB
[INFO] [1747658853.439233999] [ros2_monitor]: [Final] Samples: 180 | Avg: -123266.000 ms | Min: -123277.415 ms | Max: -123253.850 ms | Std: 5.436 ms | Throughput: 5.999 msg/s | Bandwidth: 0.000 MB/s | Duration: 30.003 s
