[INFO] [1747745165.727699840] [ros2_monitor]: Monitoring /robot/cmd_vel for 30.0 seconds...
[INFO] [1747745166.707043904] [ros2_monitor]: [Interim] Msgs: 4 | Rate: 3.98 Hz | CPU: 0.0% | MEM: 50.71 MB
[INFO] [1747745167.707022624] [ros2_monitor]: [Interim] Msgs: 9 | Rate: 4.49 Hz | CPU: 2.0% | MEM: 50.71 MB
[INFO] [1747745168.706887232] [ros2_monitor]: [Interim] Msgs: 14 | Rate: 4.66 Hz | CPU: 2.0% | MEM: 50.71 MB
[INFO] [1747745169.707193312] [ros2_monitor]: [Interim] Msgs: 19 | Rate: 4.74 Hz | CPU: 2.0% | MEM: 50.71 MB
[INFO] [1747745170.707167648] [ros2_monitor]: [Interim] Msgs: 24 | Rate: 4.80 Hz | CPU: 4.0% | MEM: 50.71 MB
[INFO] [1747745171.707122592] [ros2_monitor]: [Interim] Msgs: 29 | Rate: 4.83 Hz | CPU: 1.0% | MEM: 50.71 MB
[INFO] [1747745172.707001056] [ros2_monitor]: [Interim] Msgs: 34 | Rate: 4.85 Hz | CPU: 2.0% | MEM: 50.71 MB
[INFO] [1747745173.707022816] [ros2_monitor]: [Interim] Msgs: 39 | Rate: 4.87 Hz | CPU: 2.0% | MEM: 50.71 MB
[INFO] [1747745174.706877216] [ros2_monitor]: [Interim] Msgs: 44 | Rate: 4.89 Hz | CPU: 2.0% | MEM: 50.71 MB
[INFO] [1747745175.707341632] [ros2_monitor]: [Interim] Msgs: 48 | Rate: 4.80 Hz | CPU: 2.0% | MEM: 51.16 MB
[INFO] [1747745176.706957568] [ros2_monitor]: [Interim] Msgs: 53 | Rate: 4.82 Hz | CPU: 1.0% | MEM: 51.16 MB
[INFO] [1747745177.706988864] [ros2_monitor]: [Interim] Msgs: 58 | Rate: 4.83 Hz | CPU: 2.0% | MEM: 51.16 MB
[INFO] [1747745178.706998304] [ros2_monitor]: [Interim] Msgs: 63 | Rate: 4.84 Hz | CPU: 3.0% | MEM: 51.16 MB
[INFO] [1747745179.706812000] [ros2_monitor]: [Interim] Msgs: 68 | Rate: 4.86 Hz | CPU: 1.0% | MEM: 51.16 MB
[INFO] [1747745180.706844384] [ros2_monitor]: [Interim] Msgs: 73 | Rate: 4.87 Hz | CPU: 2.0% | MEM: 51.16 MB
[INFO] [1747745181.706971776] [ros2_monitor]: [Interim] Msgs: 78 | Rate: 4.87 Hz | CPU: 1.0% | MEM: 51.16 MB
[INFO] [1747745182.706951744] [ros2_monitor]: [Interim] Msgs: 82 | Rate: 4.82 Hz | CPU: 2.0% | MEM: 51.16 MB
[INFO] [1747745183.706950144] [ros2_monitor]: [Interim] Msgs: 87 | Rate: 4.83 Hz | CPU: 1.0% | MEM: 51.16 MB
[INFO] [1747745184.706773728] [ros2_monitor]: [Interim] Msgs: 92 | Rate: 4.84 Hz | CPU: 3.0% | MEM: 51.16 MB
[INFO] [1747745185.706869600] [ros2_monitor]: [Interim] Msgs: 96 | Rate: 4.80 Hz | CPU: 1.0% | MEM: 51.16 MB
[INFO] [1747745186.706867232] [ros2_monitor]: [Interim] Msgs: 101 | Rate: 4.81 Hz | CPU: 1.0% | MEM: 51.16 MB
[INFO] [1747745187.707009664] [ros2_monitor]: [Interim] Msgs: 105 | Rate: 4.77 Hz | CPU: 2.0% | MEM: 51.16 MB
[INFO] [1747745188.706775744] [ros2_monitor]: [Interim] Msgs: 110 | Rate: 4.78 Hz | CPU: 2.0% | MEM: 51.16 MB
[INFO] [1747745189.707023744] [ros2_monitor]: [Interim] Msgs: 114 | Rate: 4.75 Hz | CPU: 2.0% | MEM: 51.16 MB
[INFO] [1747745190.707122304] [ros2_monitor]: [Interim] Msgs: 119 | Rate: 4.76 Hz | CPU: 2.0% | MEM: 51.41 MB
[INFO] [1747745191.707085504] [ros2_monitor]: [Interim] Msgs: 123 | Rate: 4.73 Hz | CPU: 1.0% | MEM: 51.41 MB
[INFO] [1747745192.706804608] [ros2_monitor]: [Interim] Msgs: 127 | Rate: 4.70 Hz | CPU: 2.0% | MEM: 51.41 MB
[INFO] [1747745193.706864992] [ros2_monitor]: [Interim] Msgs: 132 | Rate: 4.71 Hz | CPU: 2.0% | MEM: 51.41 MB
[INFO] [1747745194.707143968] [ros2_monitor]: [Interim] Msgs: 137 | Rate: 4.72 Hz | CPU: 2.0% | MEM: 51.41 MB
[INFO] [1747745195.706988800] [ros2_monitor]: [Interim] Msgs: 141 | Rate: 4.70 Hz | CPU: 1.0% | MEM: 51.41 MB
[INFO] [1747745195.726140128] [ros2_monitor]: [Final] Samples: 142 | Avg: 0.000 ms | Min: 0.000 ms | Max: 0.000 ms | Std: 0.000 ms | Throughput: 4.730 msg/s | Bandwidth: 0.000 MB/s | Duration: 30.024 s
