[INFO] [1747658856.391896747] [ros2_monitor]: Monitoring /robot/lidar/points for 30.0 seconds...
[INFO] [1747658857.371575752] [ros2_monitor]: [Interim] Msgs: 8 | Rate: 7.95 Hz | CPU: 0.0% | MEM: 60.83 MB
[INFO] [1747658858.371949218] [ros2_monitor]: [Interim] Msgs: 18 | Rate: 8.97 Hz | CPU: 28.0% | MEM: 60.87 MB
[INFO] [1747658859.387284696] [ros2_monitor]: [Interim] Msgs: 29 | Rate: 9.60 Hz | CPU: 28.6% | MEM: 60.89 MB
[INFO] [1747658860.388939871] [ros2_monitor]: [Interim] Msgs: 39 | Rate: 9.69 Hz | CPU: 24.0% | MEM: 60.90 MB
[INFO] [1747658861.391918743] [ros2_monitor]: [Interim] Msgs: 49 | Rate: 9.75 Hz | CPU: 25.9% | MEM: 60.91 MB
[INFO] [1747658862.371908737] [ros2_monitor]: [Interim] Msgs: 58 | Rate: 9.66 Hz | CPU: 25.5% | MEM: 60.91 MB
[INFO] [1747658863.380555665] [ros2_monitor]: [Interim] Msgs: 69 | Rate: 9.84 Hz | CPU: 28.7% | MEM: 60.93 MB
[INFO] [1747658864.371826898] [ros2_monitor]: [Interim] Msgs: 78 | Rate: 9.74 Hz | CPU: 24.2% | MEM: 60.93 MB
[INFO] [1747658865.371946534] [ros2_monitor]: [Interim] Msgs: 88 | Rate: 9.77 Hz | CPU: 27.0% | MEM: 60.93 MB
[INFO] [1747658866.371732560] [ros2_monitor]: [Interim] Msgs: 98 | Rate: 9.79 Hz | CPU: 27.0% | MEM: 60.94 MB
[INFO] [1747658867.371638007] [ros2_monitor]: [Interim] Msgs: 108 | Rate: 9.81 Hz | CPU: 26.0% | MEM: 60.95 MB
[INFO] [1747658868.391060678] [ros2_monitor]: [Interim] Msgs: 119 | Rate: 9.90 Hz | CPU: 27.5% | MEM: 61.98 MB
[INFO] [1747658869.371934974] [ros2_monitor]: [Interim] Msgs: 128 | Rate: 9.84 Hz | CPU: 25.5% | MEM: 61.98 MB
[INFO] [1747658870.374260287] [ros2_monitor]: [Interim] Msgs: 138 | Rate: 9.85 Hz | CPU: 26.9% | MEM: 61.98 MB
[INFO] [1747658871.371945101] [ros2_monitor]: [Interim] Msgs: 148 | Rate: 9.86 Hz | CPU: 26.1% | MEM: 61.98 MB
[INFO] [1747658872.386591799] [ros2_monitor]: [Interim] Msgs: 159 | Rate: 9.92 Hz | CPU: 28.6% | MEM: 61.98 MB
[INFO] [1747658873.371708645] [ros2_monitor]: [Interim] Msgs: 168 | Rate: 9.88 Hz | CPU: 23.4% | MEM: 61.98 MB
[INFO] [1747658874.371657675] [ros2_monitor]: [Interim] Msgs: 178 | Rate: 9.89 Hz | CPU: 26.0% | MEM: 61.98 MB
[INFO] [1747658875.389629759] [ros2_monitor]: [Interim] Msgs: 189 | Rate: 9.93 Hz | CPU: 27.5% | MEM: 61.99 MB
[INFO] [1747658876.374678461] [ros2_monitor]: [Interim] Msgs: 198 | Rate: 9.90 Hz | CPU: 25.4% | MEM: 61.99 MB
[INFO] [1747658877.371814789] [ros2_monitor]: [Interim] Msgs: 208 | Rate: 9.90 Hz | CPU: 26.1% | MEM: 62.00 MB
[INFO] [1747658878.371734231] [ros2_monitor]: [Interim] Msgs: 218 | Rate: 9.91 Hz | CPU: 27.0% | MEM: 62.00 MB
[INFO] [1747658879.386416001] [ros2_monitor]: [Interim] Msgs: 229 | Rate: 9.95 Hz | CPU: 28.6% | MEM: 62.00 MB
[INFO] [1747658880.371683120] [ros2_monitor]: [Interim] Msgs: 238 | Rate: 9.91 Hz | CPU: 25.4% | MEM: 62.00 MB
[INFO] [1747658881.385646115] [ros2_monitor]: [Interim] Msgs: 249 | Rate: 9.95 Hz | CPU: 26.6% | MEM: 62.01 MB
[INFO] [1747658882.388840379] [ros2_monitor]: [Interim] Msgs: 259 | Rate: 9.95 Hz | CPU: 27.9% | MEM: 62.01 MB
[INFO] [1747658883.374222846] [ros2_monitor]: [Interim] Msgs: 268 | Rate: 9.92 Hz | CPU: 26.4% | MEM: 62.01 MB
[INFO] [1747658884.371639178] [ros2_monitor]: [Interim] Msgs: 278 | Rate: 9.93 Hz | CPU: 26.1% | MEM: 62.01 MB
[INFO] [1747658885.389441644] [ros2_monitor]: [Interim] Msgs: 289 | Rate: 9.96 Hz | CPU: 31.4% | MEM: 62.01 MB
[INFO] [1747658886.371545866] [ros2_monitor]: [Interim] Msgs: 298 | Rate: 9.93 Hz | CPU: 24.4% | MEM: 62.01 MB
[INFO] [1747658886.391652895] [ros2_monitor]: [Final] Samples: 299 | Avg: -123280.882 ms | Min: -123297.559 ms | Max: -123179.852 ms | Std: 8.959 ms | Throughput: 9.958 msg/s | Bandwidth: 0.000 MB/s | Duration: 30.025 s
