[INFO] [1747658889.348416400] [ros2_monitor]: Monitoring /robot/odom for 30.0 seconds...
[INFO] [1747658890.326322740] [ros2_monitor]: [Interim] Msgs: 24 | Rate: 22.68 Hz | CPU: 0.0% | MEM: 49.96 MB
[INFO] [1747658891.326400461] [ros2_monitor]: [Interim] Msgs: 49 | Rate: 23.80 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658892.326190492] [ros2_monitor]: [Interim] Msgs: 74 | Rate: 24.20 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658893.326199051] [ros2_monitor]: [Interim] Msgs: 99 | Rate: 24.39 Hz | CPU: 8.0% | MEM: 50.22 MB
[INFO] [1747658894.326596123] [ros2_monitor]: [Interim] Msgs: 124 | Rate: 24.51 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658895.326301275] [ros2_monitor]: [Interim] Msgs: 149 | Rate: 24.59 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658896.326449118] [ros2_monitor]: [Interim] Msgs: 174 | Rate: 24.65 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658897.326218102] [ros2_monitor]: [Interim] Msgs: 199 | Rate: 24.70 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658898.326144364] [ros2_monitor]: [Interim] Msgs: 224 | Rate: 24.73 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658899.326227392] [ros2_monitor]: [Interim] Msgs: 249 | Rate: 24.76 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658900.326176270] [ros2_monitor]: [Interim] Msgs: 274 | Rate: 24.78 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658901.326637407] [ros2_monitor]: [Interim] Msgs: 299 | Rate: 24.80 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658902.326181373] [ros2_monitor]: [Interim] Msgs: 324 | Rate: 24.81 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658903.326156253] [ros2_monitor]: [Interim] Msgs: 349 | Rate: 24.83 Hz | CPU: 8.0% | MEM: 50.22 MB
[INFO] [1747658904.326181242] [ros2_monitor]: [Interim] Msgs: 374 | Rate: 24.84 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658905.326187474] [ros2_monitor]: [Interim] Msgs: 399 | Rate: 24.85 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658906.326150692] [ros2_monitor]: [Interim] Msgs: 424 | Rate: 24.86 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658907.326086962] [ros2_monitor]: [Interim] Msgs: 449 | Rate: 24.86 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658908.326565925] [ros2_monitor]: [Interim] Msgs: 474 | Rate: 24.87 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658909.326129795] [ros2_monitor]: [Interim] Msgs: 499 | Rate: 24.88 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658910.326223942] [ros2_monitor]: [Interim] Msgs: 524 | Rate: 24.88 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658911.326094817] [ros2_monitor]: [Interim] Msgs: 549 | Rate: 24.89 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658912.326144059] [ros2_monitor]: [Interim] Msgs: 574 | Rate: 24.89 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658913.326127631] [ros2_monitor]: [Interim] Msgs: 599 | Rate: 24.90 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658914.326165887] [ros2_monitor]: [Interim] Msgs: 624 | Rate: 24.90 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658915.326422639] [ros2_monitor]: [Interim] Msgs: 649 | Rate: 24.91 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658916.326219795] [ros2_monitor]: [Interim] Msgs: 674 | Rate: 24.91 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658917.326314903] [ros2_monitor]: [Interim] Msgs: 699 | Rate: 24.91 Hz | CPU: 6.0% | MEM: 50.22 MB
[INFO] [1747658918.326286805] [ros2_monitor]: [Interim] Msgs: 724 | Rate: 24.92 Hz | CPU: 7.0% | MEM: 50.22 MB
[INFO] [1747658919.292187536] [ros2_monitor]: [Final] Samples: 749 | Avg: -123457.627 ms | Min: -123458.662 ms | Max: -123455.879 ms | Std: 0.446 ms | Throughput: 24.947 msg/s | Bandwidth: 0.000 MB/s | Duration: 30.024 s
