[INFO] [1747744677.103474816] [ros2_monitor]: Monitoring /robot/camera/color/image_raw for 30.0 seconds...
[INFO] [1747744678.083023840] [ros2_monitor]: [Interim] Msgs: 4 | Rate: 3.85 Hz | CPU: 0.0% | MEM: 60.05 MB
[INFO] [1747744679.083125728] [ros2_monitor]: [Interim] Msgs: 10 | Rate: 4.90 Hz | CPU: 6.0% | MEM: 60.07 MB
[INFO] [1747744680.082688384] [ros2_monitor]: [Interim] Msgs: 16 | Rate: 5.26 Hz | CPU: 8.0% | MEM: 60.08 MB
[INFO] [1747744681.082405472] [ros2_monitor]: [Interim] Msgs: 22 | Rate: 5.45 Hz | CPU: 7.0% | MEM: 60.09 MB
[INFO] [1747744682.082505440] [ros2_monitor]: [Interim] Msgs: 28 | Rate: 5.56 Hz | CPU: 7.0% | MEM: 60.09 MB
[INFO] [1747744683.082176928] [ros2_monitor]: [Interim] Msgs: 34 | Rate: 5.63 Hz | CPU: 8.0% | MEM: 60.10 MB
[INFO] [1747744684.081471232] [ros2_monitor]: [Interim] Msgs: 40 | Rate: 5.68 Hz | CPU: 6.0% | MEM: 60.11 MB
[INFO] [1747744685.082419936] [ros2_monitor]: [Interim] Msgs: 46 | Rate: 5.72 Hz | CPU: 8.0% | MEM: 60.11 MB
[INFO] [1747744686.082749504] [ros2_monitor]: [Interim] Msgs: 52 | Rate: 5.75 Hz | CPU: 7.0% | MEM: 60.12 MB
[INFO] [1747744687.082243424] [ros2_monitor]: [Interim] Msgs: 58 | Rate: 5.78 Hz | CPU: 7.0% | MEM: 60.13 MB
[INFO] [1747744688.082113984] [ros2_monitor]: [Interim] Msgs: 64 | Rate: 5.80 Hz | CPU: 8.0% | MEM: 60.14 MB
[INFO] [1747744689.082625056] [ros2_monitor]: [Interim] Msgs: 70 | Rate: 5.81 Hz | CPU: 8.0% | MEM: 60.14 MB
[INFO] [1747744690.082144160] [ros2_monitor]: [Interim] Msgs: 76 | Rate: 5.83 Hz | CPU: 7.0% | MEM: 60.14 MB
[INFO] [1747744691.081979360] [ros2_monitor]: [Interim] Msgs: 82 | Rate: 5.84 Hz | CPU: 8.0% | MEM: 60.15 MB
[INFO] [1747744692.081964608] [ros2_monitor]: [Interim] Msgs: 88 | Rate: 5.85 Hz | CPU: 6.0% | MEM: 60.16 MB
[INFO] [1747744693.082030400] [ros2_monitor]: [Interim] Msgs: 94 | Rate: 5.86 Hz | CPU: 8.0% | MEM: 60.16 MB
[INFO] [1747744694.081959712] [ros2_monitor]: [Interim] Msgs: 100 | Rate: 5.87 Hz | CPU: 7.0% | MEM: 60.16 MB
[INFO] [1747744695.081953920] [ros2_monitor]: [Interim] Msgs: 106 | Rate: 5.88 Hz | CPU: 6.0% | MEM: 60.16 MB
[INFO] [1747744696.081917792] [ros2_monitor]: [Interim] Msgs: 112 | Rate: 5.88 Hz | CPU: 9.0% | MEM: 60.16 MB
[INFO] [1747744697.082119296] [ros2_monitor]: [Interim] Msgs: 118 | Rate: 5.89 Hz | CPU: 6.0% | MEM: 60.16 MB
[INFO] [1747744698.080827808] [ros2_monitor]: [Interim] Msgs: 124 | Rate: 5.89 Hz | CPU: 7.0% | MEM: 60.16 MB
[INFO] [1747744699.080822112] [ros2_monitor]: [Interim] Msgs: 129 | Rate: 5.85 Hz | CPU: 5.0% | MEM: 60.16 MB
[INFO] [1747744700.082577440] [ros2_monitor]: [Interim] Msgs: 136 | Rate: 5.90 Hz | CPU: 6.0% | MEM: 60.17 MB
[INFO] [1747744701.081790048] [ros2_monitor]: [Interim] Msgs: 141 | Rate: 5.87 Hz | CPU: 4.0% | MEM: 60.17 MB
[INFO] [1747744702.080846272] [ros2_monitor]: [Interim] Msgs: 148 | Rate: 5.91 Hz | CPU: 8.0% | MEM: 60.17 MB
[INFO] [1747744703.082901824] [ros2_monitor]: [Interim] Msgs: 153 | Rate: 5.88 Hz | CPU: 6.0% | MEM: 60.17 MB
[INFO] [1747744704.082588864] [ros2_monitor]: [Interim] Msgs: 159 | Rate: 5.88 Hz | CPU: 7.0% | MEM: 60.18 MB
[INFO] [1747744705.082620256] [ros2_monitor]: [Interim] Msgs: 165 | Rate: 5.88 Hz | CPU: 6.0% | MEM: 60.18 MB
[INFO] [1747744706.083347328] [ros2_monitor]: [Interim] Msgs: 171 | Rate: 5.89 Hz | CPU: 6.0% | MEM: 60.18 MB
[INFO] [1747744707.082776352] [ros2_monitor]: [Interim] Msgs: 177 | Rate: 5.89 Hz | CPU: 6.0% | MEM: 60.18 MB
[INFO] [1747744707.103184288] [ros2_monitor]: [Final] Samples: 178 | Avg: 1747740510206.670 ms | Min: 1747740510179.808 ms | Max: 1747740510349.682 ms | Std: 19.365 ms | Throughput: 5.922 msg/s | Bandwidth: 0.000 MB/s | Duration: 30.055 s
