[INFO] [1747744775.574138432] [ros2_monitor]: Monitoring /robot/cmd_vel for 30.0 seconds...
[INFO] [1747744776.551918592] [ros2_monitor]: [Interim] Msgs: 4 | Rate: 3.98 Hz | CPU: 0.0% | MEM: 59.24 MB
[INFO] [1747744777.551782240] [ros2_monitor]: [Interim] Msgs: 9 | Rate: 4.49 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744778.551745024] [ros2_monitor]: [Interim] Msgs: 14 | Rate: 4.66 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744779.551819168] [ros2_monitor]: [Interim] Msgs: 19 | Rate: 4.74 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744780.551709984] [ros2_monitor]: [Interim] Msgs: 24 | Rate: 4.80 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744781.551809536] [ros2_monitor]: [Interim] Msgs: 28 | Rate: 4.66 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744782.551763072] [ros2_monitor]: [Interim] Msgs: 33 | Rate: 4.71 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744783.551815808] [ros2_monitor]: [Interim] Msgs: 38 | Rate: 4.75 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744784.552034816] [ros2_monitor]: [Interim] Msgs: 43 | Rate: 4.78 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744785.551607424] [ros2_monitor]: [Interim] Msgs: 48 | Rate: 4.80 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744786.551632064] [ros2_monitor]: [Interim] Msgs: 53 | Rate: 4.82 Hz | CPU: 0.0% | MEM: 59.24 MB
[INFO] [1747744787.551781472] [ros2_monitor]: [Interim] Msgs: 57 | Rate: 4.75 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744788.551694752] [ros2_monitor]: [Interim] Msgs: 62 | Rate: 4.77 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744789.551672448] [ros2_monitor]: [Interim] Msgs: 66 | Rate: 4.71 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744790.551613152] [ros2_monitor]: [Interim] Msgs: 71 | Rate: 4.73 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744791.551753792] [ros2_monitor]: [Interim] Msgs: 76 | Rate: 4.75 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744792.551700288] [ros2_monitor]: [Interim] Msgs: 81 | Rate: 4.76 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744793.551706112] [ros2_monitor]: [Interim] Msgs: 86 | Rate: 4.78 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744794.551695040] [ros2_monitor]: [Interim] Msgs: 90 | Rate: 4.74 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744795.551626560] [ros2_monitor]: [Interim] Msgs: 95 | Rate: 4.75 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744796.552048832] [ros2_monitor]: [Interim] Msgs: 100 | Rate: 4.76 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744797.552265856] [ros2_monitor]: [Interim] Msgs: 104 | Rate: 4.73 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744798.551804896] [ros2_monitor]: [Interim] Msgs: 109 | Rate: 4.74 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744799.551749888] [ros2_monitor]: [Interim] Msgs: 114 | Rate: 4.75 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744800.551983360] [ros2_monitor]: [Interim] Msgs: 119 | Rate: 4.76 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744801.552273792] [ros2_monitor]: [Interim] Msgs: 124 | Rate: 4.77 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744802.551703552] [ros2_monitor]: [Interim] Msgs: 129 | Rate: 4.78 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744803.551780960] [ros2_monitor]: [Interim] Msgs: 133 | Rate: 4.75 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744804.551903296] [ros2_monitor]: [Interim] Msgs: 138 | Rate: 4.76 Hz | CPU: 2.0% | MEM: 59.24 MB
[INFO] [1747744805.551778592] [ros2_monitor]: [Interim] Msgs: 143 | Rate: 4.77 Hz | CPU: 1.0% | MEM: 59.24 MB
[INFO] [1747744805.602718112] [ros2_monitor]: [Final] Samples: 144 | Avg: 0.000 ms | Min: 0.000 ms | Max: 0.000 ms | Std: 0.000 ms | Throughput: 4.791 msg/s | Bandwidth: 0.000 MB/s | Duration: 30.056 s
