[INFO] [1747658482.653454892] [ros2_monitor]: Monitoring /robot/lidar/points for 30.0 seconds...
[INFO] [1747658483.631023645] [ros2_monitor]: [Interim] Msgs: 0 | Rate: 0.00 Hz | CPU: 0.0% | MEM: 60.53 MB
[INFO] [1747658484.631244966] [ros2_monitor]: [Interim] Msgs: 9 | Rate: 4.49 Hz | CPU: 30.0% | MEM: 71.38 MB
[INFO] [1747658485.631102045] [ros2_monitor]: [Interim] Msgs: 19 | Rate: 6.32 Hz | CPU: 27.0% | MEM: 71.41 MB
[INFO] [1747658486.630850024] [ros2_monitor]: [Interim] Msgs: 29 | Rate: 7.24 Hz | CPU: 28.0% | MEM: 71.42 MB
[INFO] [1747658487.631129236] [ros2_monitor]: [Interim] Msgs: 39 | Rate: 7.79 Hz | CPU: 24.0% | MEM: 71.44 MB
[INFO] [1747658488.631110031] [ros2_monitor]: [Interim] Msgs: 49 | Rate: 8.16 Hz | CPU: 28.0% | MEM: 71.45 MB
[INFO] [1747658489.631277284] [ros2_monitor]: [Interim] Msgs: 59 | Rate: 8.42 Hz | CPU: 27.0% | MEM: 71.45 MB
[INFO] [1747658490.631013671] [ros2_monitor]: [Interim] Msgs: 69 | Rate: 8.62 Hz | CPU: 28.0% | MEM: 71.46 MB
[INFO] [1747658491.631065253] [ros2_monitor]: [Interim] Msgs: 79 | Rate: 8.77 Hz | CPU: 29.0% | MEM: 71.46 MB
[INFO] [1747658492.631212923] [ros2_monitor]: [Interim] Msgs: 89 | Rate: 8.89 Hz | CPU: 28.0% | MEM: 71.46 MB
[INFO] [1747658493.631033473] [ros2_monitor]: [Interim] Msgs: 99 | Rate: 8.99 Hz | CPU: 27.0% | MEM: 71.46 MB
[INFO] [1747658494.631280646] [ros2_monitor]: [Interim] Msgs: 109 | Rate: 9.08 Hz | CPU: 27.0% | MEM: 71.46 MB
[INFO] [1747658495.631101431] [ros2_monitor]: [Interim] Msgs: 119 | Rate: 9.15 Hz | CPU: 28.0% | MEM: 71.48 MB
[INFO] [1747658496.631237862] [ros2_monitor]: [Interim] Msgs: 129 | Rate: 9.21 Hz | CPU: 29.0% | MEM: 71.48 MB
[INFO] [1747658497.630998242] [ros2_monitor]: [Interim] Msgs: 139 | Rate: 9.26 Hz | CPU: 29.0% | MEM: 71.48 MB
[INFO] [1747658498.631024410] [ros2_monitor]: [Interim] Msgs: 149 | Rate: 9.31 Hz | CPU: 30.0% | MEM: 71.48 MB
[INFO] [1747658499.630585983] [ros2_monitor]: [Interim] Msgs: 159 | Rate: 9.35 Hz | CPU: 27.0% | MEM: 71.48 MB
[INFO] [1747658500.631090989] [ros2_monitor]: [Interim] Msgs: 169 | Rate: 9.39 Hz | CPU: 28.0% | MEM: 71.52 MB
[INFO] [1747658501.631088615] [ros2_monitor]: [Interim] Msgs: 179 | Rate: 9.42 Hz | CPU: 30.0% | MEM: 71.52 MB
[INFO] [1747658502.631111223] [ros2_monitor]: [Interim] Msgs: 189 | Rate: 9.45 Hz | CPU: 29.0% | MEM: 71.52 MB
[INFO] [1747658503.631024284] [ros2_monitor]: [Interim] Msgs: 199 | Rate: 9.47 Hz | CPU: 29.0% | MEM: 71.52 MB
[INFO] [1747658504.630914390] [ros2_monitor]: [Interim] Msgs: 209 | Rate: 9.50 Hz | CPU: 29.0% | MEM: 71.52 MB
[INFO] [1747658505.631130925] [ros2_monitor]: [Interim] Msgs: 219 | Rate: 9.52 Hz | CPU: 28.0% | MEM: 71.52 MB
[INFO] [1747658506.631052180] [ros2_monitor]: [Interim] Msgs: 229 | Rate: 9.54 Hz | CPU: 28.0% | MEM: 71.52 MB
[INFO] [1747658507.631242711] [ros2_monitor]: [Interim] Msgs: 239 | Rate: 9.56 Hz | CPU: 28.0% | MEM: 71.52 MB
[INFO] [1747658508.631100074] [ros2_monitor]: [Interim] Msgs: 249 | Rate: 9.57 Hz | CPU: 27.0% | MEM: 71.52 MB
[INFO] [1747658509.631013779] [ros2_monitor]: [Interim] Msgs: 259 | Rate: 9.59 Hz | CPU: 27.0% | MEM: 71.52 MB
[INFO] [1747658510.630857874] [ros2_monitor]: [Interim] Msgs: 269 | Rate: 9.60 Hz | CPU: 26.0% | MEM: 71.52 MB
[INFO] [1747658511.630932012] [ros2_monitor]: [Interim] Msgs: 279 | Rate: 9.62 Hz | CPU: 30.0% | MEM: 71.52 MB
[INFO] [1747658512.630921722] [ros2_monitor]: [Interim] Msgs: 289 | Rate: 9.63 Hz | CPU: 28.0% | MEM: 71.52 MB
[INFO] [1747658512.709874723] [ros2_monitor]: [Final] Samples: 290 | Avg: -123285.463 ms | Min: -123307.513 ms | Max: -123093.881 ms | Std: 19.482 ms | Throughput: 9.640 msg/s | Bandwidth: 0.000 MB/s | Duration: 30.084 s
