[INFO] [1747744742.864209536] [ros2_monitor]: Monitoring /robot/odom for 30.0 seconds...
[INFO] [1747744743.842184896] [ros2_monitor]: [Interim] Msgs: 24 | Rate: 22.23 Hz | CPU: 0.0% | MEM: 58.32 MB
[INFO] [1747744744.842134400] [ros2_monitor]: [Interim] Msgs: 49 | Rate: 23.56 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744745.842087648] [ros2_monitor]: [Interim] Msgs: 74 | Rate: 24.03 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744746.842097632] [ros2_monitor]: [Interim] Msgs: 99 | Rate: 24.27 Hz | CPU: 6.0% | MEM: 58.32 MB
[INFO] [1747744747.842112992] [ros2_monitor]: [Interim] Msgs: 124 | Rate: 24.41 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744748.842068384] [ros2_monitor]: [Interim] Msgs: 149 | Rate: 24.51 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744749.842209952] [ros2_monitor]: [Interim] Msgs: 174 | Rate: 24.58 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744750.842084800] [ros2_monitor]: [Interim] Msgs: 199 | Rate: 24.63 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744751.842071456] [ros2_monitor]: [Interim] Msgs: 224 | Rate: 24.67 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744752.842087712] [ros2_monitor]: [Interim] Msgs: 249 | Rate: 24.70 Hz | CPU: 6.0% | MEM: 58.32 MB
[INFO] [1747744753.842015424] [ros2_monitor]: [Interim] Msgs: 274 | Rate: 24.73 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744754.842123904] [ros2_monitor]: [Interim] Msgs: 299 | Rate: 24.75 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744755.842101824] [ros2_monitor]: [Interim] Msgs: 324 | Rate: 24.77 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744756.842055520] [ros2_monitor]: [Interim] Msgs: 349 | Rate: 24.79 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744757.842154144] [ros2_monitor]: [Interim] Msgs: 374 | Rate: 24.80 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744758.842129056] [ros2_monitor]: [Interim] Msgs: 399 | Rate: 24.81 Hz | CPU: 6.0% | MEM: 58.32 MB
[INFO] [1747744759.842037024] [ros2_monitor]: [Interim] Msgs: 424 | Rate: 24.83 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744760.842153856] [ros2_monitor]: [Interim] Msgs: 449 | Rate: 24.83 Hz | CPU: 6.0% | MEM: 58.32 MB
[INFO] [1747744761.842079968] [ros2_monitor]: [Interim] Msgs: 474 | Rate: 24.84 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744762.842203712] [ros2_monitor]: [Interim] Msgs: 499 | Rate: 24.85 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744763.842210496] [ros2_monitor]: [Interim] Msgs: 524 | Rate: 24.86 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744764.842051008] [ros2_monitor]: [Interim] Msgs: 549 | Rate: 24.86 Hz | CPU: 6.0% | MEM: 58.32 MB
[INFO] [1747744765.842088544] [ros2_monitor]: [Interim] Msgs: 574 | Rate: 24.87 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744766.842066080] [ros2_monitor]: [Interim] Msgs: 599 | Rate: 24.88 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744767.842076512] [ros2_monitor]: [Interim] Msgs: 624 | Rate: 24.88 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744768.842082176] [ros2_monitor]: [Interim] Msgs: 649 | Rate: 24.89 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744769.842065376] [ros2_monitor]: [Interim] Msgs: 674 | Rate: 24.89 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744770.842391904] [ros2_monitor]: [Interim] Msgs: 699 | Rate: 24.89 Hz | CPU: 6.0% | MEM: 58.32 MB
[INFO] [1747744771.842008128] [ros2_monitor]: [Interim] Msgs: 724 | Rate: 24.90 Hz | CPU: 5.0% | MEM: 58.32 MB
[INFO] [1747744772.776040992] [ros2_monitor]: [Final] Samples: 748 | Avg: 1747740509969.553 ms | Min: 1747740509968.688 ms | Max: 1747740509972.911 ms | Std: 0.506 ms | Throughput: 24.923 msg/s | Bandwidth: 0.000 MB/s | Duration: 30.013 s
