[INFO] [1749075168.005292232] [dds_talker]: Starting talker...
100.0Hz 1000msgs 1000000B payload
[INFO] [1749075169.009631786] [dds_talker]: [100] CPU: 0.00% | MEM: 60.87 MB
[INFO] [1749075170.008841888] [dds_talker]: [200] CPU: 28.00% | MEM: 60.84 MB
[INFO] [1749075171.009875642] [dds_talker]: [300] CPU: 34.00% | MEM: 60.84 MB
[INFO] [1749075172.010080214] [dds_talker]: [400] CPU: 42.00% | MEM: 60.85 MB
[INFO] [1749075173.009852591] [dds_talker]: [500] CPU: 38.00% | MEM: 60.85 MB
[INFO] [1749075174.010533365] [dds_talker]: [600] CPU: 46.00% | MEM: 60.89 MB
[INFO] [1749075175.010383403] [dds_talker]: [700] CPU: 44.00% | MEM: 60.89 MB
[INFO] [1749075176.009849393] [dds_talker]: [800] CPU: 39.00% | MEM: 60.89 MB
[INFO] [1749075177.009690386] [dds_talker]: [900] CPU: 36.00% | MEM: 60.89 MB
[INFO] [1749075178.009898996] [dds_talker]: [1000] CPU: 36.00% | MEM: 60.89 MB
[INFO] [1749075178.010700903] [dds_talker]: Sent 1000 messages.
